14,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
0,0,0
7,11,0
2,0,0
1,0,0
1,0,0
1,0,0
2,0,0
0,0,0
1,6,0
7,0,0
0,10,0
6,0,0
9,0,0
26,1,0
6,0,0
20,0,2
33,2,0
24,1,0
3,0,0
6,4,0
3,0,0
16,8,1
1,7,0
2,4,0
6,2,0
11,8,0
8,21,0
9,14,0
18,4,0
1,37,0
4,6,0
9,11,0
6,12,0
5,16,0
12,5,0
9,8,0
5,14,0
7,11,0
3,1,0
28,10,1
18,6,0
19,1,1
66,3,0
75,9,1
31,2,0
46,4,1
31,0,0
22,19,1
28,11,1
28,10,1
27,37,1
50,5,0
13,76,0
25,21,0
36,25,2
33,50,0
23,48,1
18,36,0
36,29,0
29,21,0
37,33,0
37,25,2
64,44,0
53,15,0
29,37,0
92,22,0
76,14,2
123,43,1
217,59,0
202,31,1
168,77,0
265,7,1
296,14,2
302,20,0
327,34,1
316,86,0
355,71,0
496,194,4
406,226,11
355,107,6
370,381,7
389,73,12
366,214,6
415,328,8
459,200,10
514,562,12
550,183,18
560,204,12
386,604,4
525,333,10
480,239,5
412,429,11
390,359,9
495,582,9
490,427,10
453,455,10
421,636,13
543,456,7
402,445,5
381,585,9
338,470,4
393,527,4
568,520,11
494,672,4
545,566,5
457,687,5
499,391,11
495,310,3
691,461,3
674,399,5
570,399,3
648,490,7
658,589,4
689,654,7
699,453,4
678,577,7
696,518,3
795,533,5
750,600,17
617,475,5
694,433,6
604,726,9
724,745,8
789,552,6
780,704,4
783,701,7
794,730,3
795,662,5
749,712,9
755,662,7
623,920,4
711,887,4
793,853,7
761,610,5
654,780,7
623,756,8
752,734,7
755,680,3
751,804,9
789,587,7
792,750,9
794,711,6
798,590,11
797,612,3
793,792,8
797,862,7
796,591,10
743,662,10
887,1009,12
896,688,7
994,758,10
996,737,11
1203,620,7
1161,600,12
1096,809,6
1074,583,10
1148,1091,10
1397,1117,11
1293,1077,12
1298,1020,15
1391,1001,9
1295,909,12
1450,1052,7
1694,1163,17
1792,1040,15
1881,1014,19
1884,1282,19
2289,1409,22
2277,1471,25
2224,1560,23
2286,1704,25
2294,1828,28
2591,1562,25
2388,1820,25
2783,2188,24
2526,1874,19
2488,2125,25
2493,2454,26
2694,1771,19
2457,2753,24
2488,2188,23
2691,2272,28
2305,2547,29
1818,2187,28
1795,2892,29
1986,2571,27
1698,2063,22
2024,2863,18
1689,2554,18
1515,2163,16
1630,2421,24
1562,2403,25
1625,2063,26
1313,2161,20
1476,1678,23
1188,1542,25
1302,2083,20
1031,1255,21
1206,1690,18
1283,1555,19
1284,1426,20
1250,1273,14
1158,1301,10
1065,1162,7
1066,1225,13
1081,1154,9
1205,1324,13
1199,1013,9
1227,1139,11
1148,1318,6
952,1175,0
1201,1160,8
940,925,12
1193,1070,14
1128,1292,14
1270,1180,17
1299,1218,15
1240,1086,7
1153,1284,10
1248,937,13
1518,948,8
1594,1209,8
1650,1179,11
1743,1391,12
1670,1221,6
1566,1266,15
1684,1258,7
1952,1161,19
2064,1507,23
2267,1533,21
2011,1638,17
2380,1630,15
2427,2151,7
2546,1826,16
2546,1829,23
2788,2015,21
2688,2115,27
2118,1988,5
1957,1930,8
2153,2349,19
2450,2614,25
2562,2142,30
2212,2156,20
3104,2508,25
2666,2466,25
2279,2235,25
2663,2567,28
2329,1943,33
2197,1972,42
2122,2267,25
2135,2484,29
1967,2421,30
1809,2794,26
1604,2120,27
1871,2461,28
1607,2646,32
1635,2760,32
1602,2770,19
1557,2551,25
1498,1887,24
1392,2140,23
1391,1557,13
1400,1588,26
1250,1501,26
1065,1812,23
1008,1365,11
990,1426,7
993,1744,16
822,1680,18
807,1452,14
714,1257,17
749,1164,21
590,1075,13
577,763,5
553,905,11
534,662,10
495,647,5
519,759,7
408,637,4
392,600,7
362,620,9
351,571,8
414,544,10
382,476,7
271,497,6
286,533,6
239,425,4
218,450,2
244,391,6
259,300,4
316,329,7
274,377,6
281,340,3
279,211,6
234,286,1
244,201,6
192,290,8
225,250,2
187,329,6
161,236,7
167,218,4
178,211,2
119,280,4
153,241,4
105,204,4
133,185,3
120,209,5
136,158,4
128,175,1
118,247,4
96,190,0
87,117,0
97,111,0
107,154,1
97,153,2
92,110,1
92,122,4
78,103,1
69,104,1
73,128,2
84,96,1
71,112,0
67,90,2
76,89,0
93,105,4
77,107,0
106,81,1
104,114,1
82,70,4
77,70,0
108,57,0
86,169,1
82,74,1
83,94,1
93,94,0
111,108,0
121,76,0
106,93,0
131,97,0
130,82,1
166,67,0
148,98,1
199,94,3
174,103,1
166,151,2
175,113,2
240,118,0
294,149,0
233,124,1
323,145,3
305,172,0
231,177,2
336,152,4
359,180,2
442,202,1
385,253,4
424,275,4
440,296,1
420,300,3
523,249,2
555,295,4
633,410,6
872,448,1
821,368,3
867,337,5
865,519,3
895,441,3
981,379,6
1053,562,7
1322,748,8
1383,761,7
1392,673,9
995,801,2
980,851,4
1106,809,8
1609,964,9
1861,1191,10
1959,1184,10
1904,1110,7
2040,1501,8
2099,1115,9
2366,1198,11
2872,969,11
2994,1970,11
2937,1615,11
3440,1896,16
3818,2298,14
3845,2109,16
5398,2166,18
5858,2743,18
6277,2958,20
7717,2944,32
7177,3489,29
6842,3663,33
7811,3367,35
9623,3928,45
9742,6512,55
11854,6334,60
10491,5104,60
10985,6057,64
11504,6211,75
11931,7184,84
12444,7618,95
13947,9535,97
13833,9348,98
13588,8509,125
