3,1,0
1,2,0
0,0,0
0,0,0
3,0,0
2,0,0
8,0,0
7,0,0
4,0,0
4,0,0
0,0,0
6,0,0
2,0,0
10,0,0
4,0,0
5,0,0
20,0,0
14,0,0
27,0,0
13,0,0
46,0,0
27,22,1
60,0,0
35,0,1
42,0,0
40,20,1
80,15,0
98,0,0
139,56,6
104,5,2
93,0,0
108,26,0
71,0,0
55,17,0
98,19,6
122,17,4
127,5,2
98,0,2
159,69,1
153,70,1
76,107,1
70,42,4
49,20,2
102,116,7
77,115,9
102,26,2
76,44,3
144,79,3
82,223,4
106,126,6
114,114,3
175,82,6
97,87,12
159,214,4
110,150,6
152,122,4
129,151,3
106,79,2
174,83,5
138,130,4
202,119,4
206,65,4
213,91,0
213,215,1
242,111,5
305,163,7
338,119,5
170,67,4
212,81,4
267,195,2
248,106,7
286,62,3
272,208,4
236,220,3
280,286,3
251,253,7
298,429,4
252,495,9
214,293,1
269,181,5
273,222,4
279,309,6
210,360,4
222,255,5
253,142,13
262,253,9
277,363,6
369,211,9
355,241,4
238,206,6
230,236,7
333,326,10
293,229,10
287,219,9
235,177,7
326,505,5
315,275,17
299,255,3
381,277,4
393,323,12
302,313,7
395,303,9
382,398,10
287,229,4
364,222,1
284,305,11
327,244,8
389,310,6
348,299,8
304,354,8
350,374,9
390,333,10
480,359,7
632,288,9
524,350,5
716,297,11
659,291,10
500,204,9
611,550,6
574,249,6
644,234,7
544,527,8
635,539,6
866,333,6
737,468,8
615,656,8
711,518,7
934,586,6
956,465,9
983,549,9
961,620,6
886,451,11
958,732,8
1120,759,11
1132,648,11
1134,880,9
1072,483,11
1144,992,10
1156,922,13
1147,614,13
1160,823,14
1167,548,12
1145,835,13
1124,781,13
1166,1017,13
1151,1282,12
1161,1064,10
1171,968,11
1169,1072,11
1173,825,11
1217,1339,11
1213,1249,11
1314,171,11
1278,2078,13
1287,1357,16
1317,1350,14
1334,1050,11
1347,1306,11
1312,1003,12
1330,1227,11
1335,1306,12
1310,1648,11
1345,1180,11
1346,1276,12
1370,1526,13
1345,1453,12
1345,1006,13
1355,1448,12
1407,938,13
1450,2122,13
1466,1719,13
1470,1312,13
1511,2550,12
1553,546,14
1570,679,13
1566,1346,14
1593,1616,15
1580,1566,14
1590,1445,13
1610,1578,14
1640,1032,14
1660,1488,15
1669,932,14
1703,1616,15
1730,1644,14
1760,1711,14
1782,1479,15
1793,1333,14
1817,1580,15
1834,1540,14
1865,1664,14
1892,1815,16
1912,1528,15
1946,1553,15
1981,1965,15
2010,1958,15
2045,1706,14
2084,1724,15
2112,1754,15
2148,1800,15
2173,1953,15
2193,1953,14
2211,2060,16
2150,2003,14
2184,2090,15
2165,2090,14
2121,2027,15
2151,2078,16
2138,2092,15
2180,2148,16
2123,2152,15
2144,2072,14
2132,1858,15
2035,1768,14
2021,2219,15
2039,2149,14
2010,2201,15
1992,2106,12
1985,2088,13
1960,2194,12
1897,2522,14
1810,2865,14
1822,2654,12
1815,2367,14
1852,2515,12
1821,2240,13
1805,2226,14
1796,2066,14
1785,2016,10
1790,1933,11
1794,2087,10
1780,1920,9
1754,1591,10
1748,1105,9
1725,1219,10
1770,1823,9
1810,1822,10
1797,1810,11
1841,1778,13
1872,1813,10
1859,1684,9
1902,1709,10
2080,1801,11
2176,1804,13
2144,1827,12
2162,1754,12
2184,1890,10
2169,1810,12
2194,1834,11
2178,1721,12
2549,1844,15
2762,1993,14
3007,1963,16
3260,2004,17
3232,2288,18
3314,2214,19
3285,2144,18
3180,2179,19
3093,2194,18
2765,2178,19
2581,2556,18
2677,2762,20
2347,3007,19
1990,3235,19
2086,3232,20
1934,3141,19
2076,3198,20
2089,2818,20
1927,2664,19
1604,2380,20
1511,2577,17
1592,2339,15
1473,2768,14
1307,2193,14
1290,1468,14
1250,1666,13
1045,1722,13
1247,2237,10
1122,1974,11
1076,1655,10
989,1259,9
978,1326,9
913,1365,9
807,1159,8
992,937,8
1001,970,8
1023,987,7
785,990,7
843,1168,6
798,1206,7
626,1149,6
770,1142,6
689,957,7
609,942,4
467,890,5
502,801,5
457,755,4
397,751,5
436,564,4
509,735,4
471,537,0
430,1098,4
475,476,3
429,568,2
293,675,3
373,790,3
281,384,2
310,377,0
238,558,2
261,496,1
213,626,3
209,537,2
213,438,2
265,406,2
201,416,0
203,472,2
167,468,0
193,370,2
125,257,0
134,305,1
85,188,2
103,265,2
104,238,1
95,194,0
96,309,0
87,235,2
92,196,2
139,192,0
116,173,1
97,150,1
75,138,0
101,93,2
90,125,0
107,89,3
111,174,2
108,85,1
110,107,1
103,103,0
82,126,0
60,168,0
101,108,1
104,77,1
93,98,1
98,66,1
82,137,0
83,122,0
76,87,0
99,90,0
128,124,0
149,125,1
102,78,1
156,102,0
119,123,0
102,66,0
215,85,0
156,116,1
195,119,1
233,114,0
176,124,0
179,51,0
179,99,0
188,119,0
203,93,0
237,137,0
201,114,0
250,125,1
251,132,0
241,151,1
313,123,0
327,152,3
402,302,2
445,256,0
476,199,2
602,176,5
480,220,4
669,258,1
715,238,0
853,266,3
852,227,0
1081,278,2
902,267,0
665,304,0
906,393,5
1350,446,4
1422,499,2
1675,418,3
1729,587,2
2429,527,12
2236,851,13
2801,783,12
3526,520,20
3970,1005,12
4401,562,18
5105,1015,10
5771,1291,25
5528,1251,28
6200,1956,29
6658,2254,33
7359,2791,31
9046,2823,37
10262,3084,42
11967,2408,53
12201,3207,64
14622,3765,62
14468,3618,59
15398,5197,64
15355,4959,74
15809,6649,74
16438,6416,84
16089,7426,121
16613,8303,120
17269,10964,158
17155,10034,155
17652,11676,160
18298,11262,159
17296,11949,154
16974,14146,154
16815,17022,155
17532,16044,161
18231,16930,164
17987,17667,160
17921,16880,159
16487,13499,160
