1,0,0
2,1,0
1,0,0
1,0,0
8,0,0
3,0,0
3,0,0
2,0,0
6,0,0
6,0,0
4,0,0
4,0,0
3,0,0
15,0,0
8,0,1
3,0,0
7,13,5
20,0,0
30,0,3
27,3,0
75,15,2
43,1,0
62,0,0
30,12,0
40,0,0
49,0,0
18,0,1
16,0,0
16,51,2
28,7,2
61,0,1
52,7,1
6,8,0
50,68,0
66,0,0
43,0,0
49,0,3
14,0,2
56,8,0
15,0,1
27,58,1
13,39,0
7,16,0
11,9,0
2,16,0
6,42,0
7,35,0
22,33,3
6,22,0
17,35,1
21,46,0
3,40,0
11,43,0
11,20,0
15,45,0
10,34,0
31,24,1
33,0,0
79,50,0
51,21,2
41,117,2
47,13,0
40,7,0
55,12,0
42,21,0
41,10,0
42,9,4
27,2,2
38,23,5
62,7,3
52,25,1
41,24,4
66,72,3
112,120,1
107,37,6
117,24,4
169,36,4
74,31,6
199,16,5
94,63,6
99,35,4
129,30,7
127,31,6
143,40,8
206,83,10
154,32,14
92,0,5
178,0,6
191,75,8
209,176,9
164,285,9
253,74,8
237,25,3
219,389,2
213,261,4
269,44,1
352,230,3
499,51,3
546,154,5
730,225,7
872,274,7
879,219,3
891,137,5
920,327,5
985,78,7
1087,162,6
983,244,4
975,410,6
945,1712,7
1018,788,7
1213,987,8
1892,1126,8
1850,1342,5
1590,1166,7
1831,2078,11
1879,1506,7
1924,992,11
1410,913,7
1278,1013,8
1178,1714,9
1269,1563,8
1550,1197,9
1524,1161,10
1597,1159,11
1676,1296,10
1478,1410,7
1284,1902,6
1296,1831,6
1198,1885,7
1430,2062,7
1555,1281,9
1567,1661,9
1640,1007,8
1593,998,8
0,0,0
1473,774,8
1610,803,9
1764,842,12
1811,821,13
1986,816,14
2083,1114,11
1891,1088,10
983,1019,11
1286,1066,12
2012,1139,13
2092,1289,13
2207,1136,12
2256,1091,14
1982,1669,12
1256,1587,10
1896,1788,8
1897,1920,9
1931,1780,11
1921,1210,9
1863,1912,10
1102,1930,9
894,2006,10
1682,2070,8
1763,1789,8
1724,1195,10
1457,1781,8
2474,1768,7
2384,1851,11
1842,1825,6
2579,1752,9
3018,1060,10
2795,872,8
2932,1580,11
2751,1675,9
2924,1638,10
1873,1849,9
2734,2325,9
2892,2240,10
2817,2611,10
2478,2011,10
2511,2579,11
2574,2927,9
1802,2711,9
2392,2346,11
2479,2485,10
2534,2071,11
2426,2324,13
2278,2458,10
2216,2603,11
1417,2479,13
2058,2180,10
2273,2260,12
2159,2108,9
2043,1802,11
2123,2151,9
2137,2192,8
1302,2230,9
2166,2143,10
2296,2062,10
2176,2004,8
2381,2021,10
2239,2281,11
1967,2058,9
1378,1932,7
2072,2259,9
2103,2243,11
2214,2474,8
2009,2437,10
1718,2002,8
1949,2366,10
1335,2176,8
1983,2381,10
2154,2239,8
1896,2067,12
1891,1878,7
1811,2072,9
1717,2103,5
1021,2214,6
1708,2009,5
1446,1918,8
1432,1949,8
1554,1435,7
1451,1983,9
1436,2154,6
948,1896,4
1486,1891,7
1579,1811,5
1456,1717,5
1421,1221,6
1273,1708,5
978,1446,4
582,1432,4
837,1554,4
1481,1451,4
1504,1436,5
1531,1048,6
1445,1486,6
1416,1579,5
922,1456,7
1536,1491,3
1637,1273,6
1539,978,5
1602,982,4
1607,937,6
1440,1481,5
857,1504,4
1267,1831,4
1196,1835,5
1015,1716,3
997,1222,4
1050,1736,4
661,1637,3
502,1539,3
952,1602,3
948,1607,5
1058,1440,4
894,1057,4
925,1367,3
873,1296,4
602,1015,3
921,1097,4
993,1150,4
862,961,3
761,702,4
753,952,3
805,948,4
593,1058,3
502,894,3
565,925,1
609,873,3
631,802,2
596,921,3
622,993,2
517,862,2
682,761,3
721,753,3
643,805,2
612,502,3
635,565,4
573,609,4
384,631,3
491,596,3
536,622,3
509,517,3
551,682,1
627,721,4
592,643,3
316,612,2
617,635,3
635,573,4
574,384,2
518,491,3
317,536,2
472,509,2
205,551,2
397,627,2
474,592,3
415,316,3
461,617,3
293,535,2
394,574,3
238,518,2
253,317,3
417,472,2
379,305,3
346,397,2
298,474,2
351,415,2
224,461,1
301,293,2
331,394,3
276,238,1
202,253,2
249,417,1
299,379,2
206,346,2
256,298,2
267,351,2
226,224,1
214,351,2
221,431,2
197,376,1
148,302,1
189,349,2
147,399,1
186,306,1
197,356,2
186,367,2
163,276,1
118,264,2
152,221,1
185,197,2
177,198,2
169,189,1
161,147,1
150,186,2
101,197,1
149,186,1
157,163,1
146,118,0
143,152,1
151,185,0
146,177,2
99,169,2
129,161,1
148,150,1
163,101,2
165,149,1
157,157,0
163,146,1
114,143,1
0,0,0
345,297,4
207,99,1
189,129,2
178,148,1
176,163,1
116,165,0
163,157,1
168,163,0
152,114,2
166,149,2
170,196,1
158,207,1
111,189,1
142,178,2
189,176,2
194,116,3
181,163,1
216,168,2
228,152,1
157,166,1
204,170,2
247,158,3
278,111,3
313,142,2
364,189,2
394,194,3
337,181,2
412,216,3
431,228,2
493,157,4
518,204,3
495,247,2
535,278,3
403,313,2
463,364,4
684,394,3
887,337,4
965,312,5
1078,331,6
1321,293,5
1097,268,6
1498,245,6
1914,285,5
2055,303,7
2478,363,5
2909,584,6
3187,787,7
2251,565,6
3052,778,7
2157,821,8
3307,897,8
3840,1198,9
4446,1414,12
5093,1555,15
4009,1878,14
5926,2209,18
6542,2887,20
5567,2251,23
6206,3052,29
7432,2157,33
8126,3307,38
6551,3840,43
10122,6446,52
8061,5093,56
7994,4009,58
7646,5926,53
7754,6542,51
7430,5567,56
5695,6206,49
6876,7432,59
6361,8126,51
