0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
5,0,0
7,0,0
4,0,1
12,0,0
4,0,0
4,0,0
5,0,2
4,0,0
8,0,1
8,1,1
7,2,1
4,2,0
13,0,0
1,5,1
7,0,2
13,3,1
20,8,1
18,1,1
29,3,2
11,0,2
76,1,2
116,7,1
90,11,3
48,0,2
56,10,2
78,5,2
116,5,5
163,9,3
170,13,5
277,7,12
367,12,10
196,26,8
239,8,19
229,40,13
217,79,9
191,7,15
256,17,6
230,31,18
247,81,11
226,40,19
308,93,16
313,86,17
326,123,22
333,160,26
374,146,28
376,153,29
441,186,49
380,119,28
388,209,29
390,163,24
394,219,23
398,454,21
347,235,20
362,466,24
364,316,29
324,191,20
340,282,20
1057,273,19
391,191,34
366,305,35
395,239,25
398,176,30
371,269,24
363,392,29
396,289,27
394,243,29
405,224,30
361,501,27
376,410,23
367,454,22
372,608,20
412,621,27
438,689,31
423,861,25
415,1114,29
485,318,30
492,455,33
510,344,35
498,313,29
480,319,30
477,321,31
470,409,33
510,370,34
513,366,38
495,392,31
517,390,33
511,442,29
514,339,28
524,418,28
520,348,27
510,389,31
540,340,27
539,535,20
580,655,25
563,560,21
549,604,26
572,575,25
577,410,18
580,532,18
615,379,18
624,391,19
626,440,19
620,422,20
675,368,21
681,563,19
687,340,18
712,473,21
725,486,18
735,423,17
778,421,17
783,569,16
861,429,15
875,441,14
872,502,10
879,513,13
902,608,10
915,749,14
925,791,10
919,828,10
949,770,17
960,1062,19
965,877,20
998,777,20
1026,744,34
1020,837,28
1078,718,28
1068,872,26
1081,782,22
1110,753,21
1052,1015,22
1108,1032,24
1144,783,24
1159,879,22
1153,833,22
1136,875,24
1101,805,22
1009,974,22
1020,898,25
1073,1046,23
1034,917,27
1074,1370,22
1101,1135,23
1078,1311,25
1056,1138,20
1118,1140,23
1152,977,18
1092,1046,18
1087,1083,15
1094,1015,19
1120,959,20
1033,1083,15
1126,1131,20
1145,1120,17
1175,1123,16
1204,1324,14
1212,980,14
1101,972,14
1067,1021,13
1096,1011,20
1197,1047,17
1190,1193,17
1272,1050,14
1282,1111,13
1272,1095,17
1280,1025,14
1310,1131,14
1305,1141,12
