4.0,0.0,27.0
90318.0,838.0,152551.0
75378.0,904.0,169899.0
96736.0,880.0,160827.0
82267.0,1026.0,185289.0
93401.0,1037.0,199546.0
117893.0,1184.0,216813.0
122858.0,1338.0,233975.0
138173.0,1497.0,260853.0
143785.0,1620.0,275004.0
154345.0,1757.0,256972.0
166625.0,2021.0,294320.0
179401.0,2101.0,315728.0
192284.0,2256.0,332494.0
220496.0,2620.0,345254.0
215757.0,2760.0,348951.0
218569.0,2808.0,354607.0
248956.0,2762.0,319420.0
262307.0,3286.0,362865.0
274127.0,3645.0,379352.0
291690.0,3502.0,386714.0
299140.0,3525.0,401940.0
308616.0,3684.0,392479.0
299979.0,3422.0,370052.0
318858.0,3438.0,355703.0
337670.0,3786.0,382816.0
330669.0,3978.0,412582.0
328319.0,3922.0,414248.0
327603.0,4233.0,406845.0
386369.0,4090.0,403778.0
353745.0,3747.0,366429.0
